"id","表示フラグ","タイムスタンプ","避難所名","区","電話番号","郵便番号","住所","URL","収容人数（およそ）","現在の人数（およそ）","備考","足りていない必要物資（1）","足りていない必要物資（2）","足りていない必要物資（3）","配給・給水","入力者氏名","緯度","経度","LocName","fX","fY","iConf","iLvl"
4,,4/19/2016 7:54:17,慈恵病院☆緊急☆,,,,熊本市島崎6-1-27,http://jikei-hp.or.jp/,,84人の入院患者さま＋スタッフ,緊急＊18日 月曜日の夕食の分でなくなる。熊本県では倒壊したり電機の供給がストップしている産婦人科もあることから、慈恵病院は妊産婦さんを受け入れいます。新しい命を宿しているお母さん、赤ちゃんにも水と新しい米が必要です。助けてください！,水,食料,粉ミルク,,,,,"熊本県/熊本市/西区/島崎/六丁目/１番","130.68970","32.81215","5","7"
5,,4/19/2016 7:11:17,託麻南小学校,東区,,,熊本市東区長嶺東三丁目２番２０号,http://www.kumamoto-kmm.ed.jp/school/e/takumaminamies/,,車たくさん,,,,,,,,,"熊本県/熊本市/東区/長嶺東/三丁目/２番","130.77734","32.81739","5","7"
6,,4/19/2016 5:47:37,熊本市立川尻小学校,南区,,,熊本市南区川尻４丁目1番１号,http://www.kumamoto-kmm.ed.jp/school/e/kawashiries/index.htm,500,200,akimyyyyy@gmail.com,食糧,,,"配給有り, 給水有り",,,,"熊本県/熊本市/南区/川尻/四丁目/１番","130.68092","32.73956","5","7"
7,,4/19/2016 5:43:57,今益城エミナース,,,,熊本県上益城郡益城町田原2071-1,,,1500人,物資もまったくなく食料などは本当に足りません。エミナース助けてください,,,,,,,,"熊本県/上益城郡/益城町/田原/２０７１番地","130.84726","32.82269","5","7"
8,,4/19/2016 5:41:55,熊本県立大学,,,,熊本市東区月出3丁目1番100号,,,６００人以上,公的な避難所ではないために食べ物や飲み物の物資が届いていません。おねがいします。,,,,,,,,"熊本県/熊本市/東区/月出/三丁目/１番","130.76544","32.80588","5","7"
9,,4/19/2016 3:09:02,健軍カトリック教会,東区,,,熊本県熊本市東区健軍３丁目８?３７,,20,15,9055027877,食料 ,衛生品,,,,,,"熊本県/熊本市/東区/健軍/三丁目/８番","130.75626","32.78041","5","7"
10,,4/19/2016 0:34:15,熊本市東区役所,東区,,,熊本県熊本市東区東本町１６－３０,,200,200,,食料,,,,,,,"熊本県/熊本市/東区/東本町/１６番","130.76772","32.78052","5","7"
11,,4/19/2016 0:19:23,,東区,,,熊本市東区東本町,,200,200,１日1回、パンと水のみ　バナナと水のみ　食料不足,食事,,,,,,,"熊本県/熊本市/東区/東本町","130.76733","32.77994","5","5"
12,,4/18/2016 23:08:03,熊本県立東稜高校,東区,,,熊本県熊本市東区小峯４丁目５-１０,,,,,,,,,,,,"熊本県/熊本市/東区/小峯/四丁目/５番","130.77779","32.80046","5","7"
13,,4/18/2016 22:56:00,熊本市立川尻小学校,南区,,,熊本市南区川尻４丁目1番１号,,体育館に４００位?,200位,川尻の地元の方の善意で炊き出しをされています。川尻小学校の電話番号です。0963579100代表友清さんだと思います。高齢者が多いですどうかよろしくお願いします,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/南区/川尻/四丁目/１番","130.68092","32.73956","5","7"
